"Covariable","HR","IC_2.5","IC_97.5","p_valeur","HR (IC 95%)"
"classe_atcASSOCIATION",0.577315312478832,0.35506967866337,0.938669196641022,"0.027","0.58 (0.36–0.94)"
"classe_atcBB",1.61547659080854,1.3134768322522,1.98691332147476,"<0.001","1.62 (1.31–1.99)"
"classe_atcDIURETIQUE",1.95621295336339,1.5330249848317,2.49622097276309,"<0.001","1.96 (1.53–2.50)"
"classe_atcICC",1.295050708922,1.02763719640255,1.63205102399036,"0.028","1.30 (1.03–1.63)"
"classe_atcIEC",0.891770154494211,0.723758113920202,1.09878423903143,"0.282","0.89 (0.72–1.10)"
"age_inclusion",1.00335041340362,0.997454130186911,1.00928155151212,"0.266","1.00 (1.00–1.01)"
"factor(ben_sex_cod)2",1.0030770136792,0.872607316904778,1.15305415835904,"0.966","1.00 (0.87–1.15)"
"ald_diabete",1.11077153113966,0.910230465326721,1.35549560401439,"0.301","1.11 (0.91–1.36)"
"ald_insuf_card",0.806282996979956,0.568531284035405,1.14345910150213,"0.227","0.81 (0.57–1.14)"
"score_charlson",0.978296886323003,0.872219707672391,1.09727490604782,"0.708","0.98 (0.87–1.10)"
"nb_hospitalisations",1.05624492065243,0.889573875362273,1.25414354367108,"0.532","1.06 (0.89–1.25)"
"ben_cmu_top",0.829217930695851,0.611697465979167,1.12408897343859,"0.228","0.83 (0.61–1.12)"
