"variable","term","HR","IC_bas","IC_haut","p.value","significatif"
"classe_atc","classe_atcASSOCIATION",0.573,0.353,0.932,0.0249,"***"
"classe_atc","classe_atcBB",1.619,1.317,1.99,0,"***"
"classe_atc","classe_atcDIURETIQUE",1.959,1.535,2.499,0,"***"
"classe_atc","classe_atcICC",1.296,1.029,1.633,0.0278,"***"
"classe_atc","classe_atcIEC",0.891,0.723,1.097,0.2765,""
"age_inclusion","age_inclusion",1.004,0.998,1.01,0.2189,""
"ben_sex_cod","ben_sex_cod",1.016,0.884,1.167,0.8267,""
"ald_diabete","ald_diabete",1.09,0.925,1.284,0.3049,""
"ald_insuf_card","ald_insuf_card",0.769,0.585,1.011,0.0604,""
"score_charlson","score_charlson",0.966,0.893,1.045,0.3847,""
"nb_hospitalisations","nb_hospitalisations",1.055,0.889,1.252,0.5426,""
"ben_cmu_top","ben_cmu_top",0.823,0.607,1.115,0.2088,""
